,pais,Participación,conteo
Nombre artista, J. H.,0.05%,1.0
, MacKay,0.05%,1.0
,A. Ellis,0.05%,1.0
,A. Haddock,0.05%,1.0
,A.M. Randall,0.05%,1.0
,Aaron Dean Fletcher,0.10%,2.0
,Aaron Haugthon Corwine,0.05%,1.0
,Abraham Mignon,0.05%,1.0
,Abraham Tuthill,0.05%,1.0
,Adam Buck,0.05%,1.0
,Adolf Ulric Wertmüller,0.15%,3.0
,Agostino Brunias,0.05%,1.0
,Alexander Robertson,0.15%,3.0
,Allport,0.05%,1.0
,Alvan Fisher,0.29%,6.0
,Ambrose Duval,0.05%,1.0
,Ammi Phillips,1.37%,28.0
,Andrew Robertson,0.05%,1.0
,Anna Claypoole Peale,0.29%,6.0
,Anson Dickinson,0.24%,5.0
,Antonio Molleno,0.05%,1.0
,Anónimo,19.32%,395.0
,Archibald Robertson,0.15%,3.0
,Arthur Devis,0.05%,1.0
,Ary Scheffer,0.05%,1.0
,Asahel Powers,0.15%,3.0
,Bass Otis,0.15%,3.0
,Beardsley Limner,0.24%,5.0
,Benjamin Greenleaf,0.15%,3.0
,Benjamin Thompson,0.05%,1.0
,Benjamin Trott,0.29%,6.0
,Benjamin West,3.08%,63.0
,C. Bak,0.05%,1.0
,C. D. Cook,0.05%,1.0
,Carl Weinedel,0.05%,1.0
,Cephas Thompson,0.49%,10.0
,Charles Balthazar Julien Fevret de Saint-Memin,0.05%,1.0
,Charles Bird King,0.59%,12.0
,Charles Bridges,0.05%,1.0
,Charles Cromwell Ingham,0.05%,1.0
,Charles Fraser,3.38%,69.0
,Charles Frederick Von Breda,0.10%,2.0
,Charles Hénard,0.10%,2.0
,Charles Paul Landon,0.05%,1.0
,Charles Peale Polk,0.54%,11.0
,Charles Polk,0.05%,1.0
,Charles Robertson,0.05%,1.0
,Charles Willson Peale,3.23%,66.0
,Charlotte-Marguerite de Bourbon,0.05%,1.0
,Chester Harding,0.93%,19.0
,Christian Gullager,0.44%,9.0
,Cornelius de Beet,0.05%,1.0
,Cosmo Alexander,0.24%,5.0
,Daniel Dickinson,0.05%,1.0
,Daniel Hendrickson,0.05%,1.0
,David Boudon,0.10%,2.0
,David Freake-Gibbs,0.15%,3.0
,Ebenezer Mack,0.05%,1.0
,Edward Greene Malbone,1.03%,21.0
,Edward Heaton,0.05%,1.0
,Edward Hicks,0.20%,4.0
,Edward Miles,0.05%,1.0
,Edward Savage,0.39%,8.0
,Edwin Plummer,0.05%,1.0
,Edwin T. Billings,0.05%,1.0
,Eliab Metcalf,0.10%,2.0
,Eliza Goodridge,0.05%,1.0
,Erastus Salisbury Field,0.59%,12.0
,Ethan Allen Greenwood,0.15%,3.0
,Eunice Pinney,0.20%,4.0
,Ezra Ames,0.98%,20.0
,Francis Alexander,0.05%,1.0
,Francis Cotes,0.05%,1.0
,Francis Guy,0.05%,1.0
,Francis Rabineau,0.10%,2.0
,Frank William Wilkin,0.05%,1.0
,Frederick Kemmelmeyer,0.05%,1.0
,Frederick W. Mayhew,0.15%,3.0
,Fredrick Buck,0.05%,1.0
,George Bickham,0.05%,1.0
,George Catlin,0.83%,17.0
,George Dame,0.05%,1.0
,George Engleheart,0.20%,4.0
,George Freeman,0.05%,1.0
,George Place,0.05%,1.0
,George Romney,0.05%,1.0
,George Ropes,0.05%,1.0
,George William West,0.05%,1.0
,Gerardus I Duyckinck,0.29%,6.0
,Geslain,0.05%,1.0
,Gil de Castro,0.05%,1.0
,Gilbert Stuart,7.00%,143.0
