categoria1,categoria2,categoria3,categoria4,categoria5
Dogma,"Credo, Mandamientos y Alabado",Alabado, , 
Dogma,"Credo, Mandamientos y Alabado",Credo, , 
Dogma,"Credo, Mandamientos y Alabado",Mandamientos, , 
Dogma,Escatología y series, , , 
Dogma,Escatología y series,Juicio Final 2, , 
Dogma,Postrimerías,"Gloria, Corte y Trono Celestial", , 
Dogma,Postrimerías,Infierno, , 
Dogma,Postrimerías,Juicio particular, , 
Dogma,Postrimerías,Muerte, , 
Dogma,Postrimerías,Purgatorio, , 
Dogma,Sacramentos,Bautismo, , 
Dogma,Sacramentos,Confesión, , 
Dogma,Sacramentos,Eucaristía, , 
Dogma,Sacramentos,Eucaristía,Adoración de Eucaristía, 
Dogma,Sacramentos,Eucaristía,Defensas Eucaristía, 
Dogma,Sacramentos,Matrimonio, , 
Dogma,Sacramentos,Otros sacamentos, , 
Dogma,Trinidad,Compatio Patris, , 
Dogma,Trinidad,Otras Trinidades, , 
Dogma,Trinidad,Padre eterno, , 
Dogma,Trinidad,Padre y crucificado, , 
Dogma,Trinidad,Tres personas, , 
Dogma,Trinidad,Trinidad tricefálica, , 
