pais,conteo,Criterio para mapa,Latitud (generado),Longitud (generado)
Argentina,177,Número de obras,-33.166,-64.31
Bolivia,157,Número de obras,-16.71,-65.183
Brazil,120,Número de obras,-11.694,-48.978
Chile,211,Número de obras,-23.176,-69.201
Colombia,953,Número de obras,3.794,-73.606
Cuba,12,Número de obras,20.571,-76.456
Dominican Rep.,3,Número de obras,19.01,-70.1685
Ecuador,361,Número de obras,-1.151,-78.308
Guatemala,52,Número de obras,15.124,-90.711
Haiti,1,Número de obras,19.3175,-72.4205
Honduras,1,Número de obras,14.881,-87.123
Italy,1,Número de obras,44.3713,11.1084
Mexico,2125,Número de obras,22.925,-101.68
Paraguay,1,Número de obras,-23.266,-58.409
Peru,1286,Número de obras,-12.664,-72.98
Puerto Rico,19,Número de obras,18.242,-66.643
United Kingdom,1,Número de obras,52.289,-1.259
United States,194,Número de obras,40.0792,-98.8164
Venezuela,70,Número de obras,6.983,-64.588
