,pais,Participación,conteo
Escenario,Celeste,7.79%,"1,495"
,Celeste / Escatológico,1.77%,339
,Celeste / Terrestre,12.84%,"2,465"
,Escenario Simbólico,4.02%,771
,Sin datos,12.87%,"2,471"
,Sin definir,15.46%,"2,968"
,Sin definir - Claroscuro,4.38%,841
,Terrestre / Ciudad - poblado,5.01%,962
,Terrestre / Interior casa-habitación,11.47%,"2,202"
,Terrestre / Interior templo,2.25%,432
,Terrestre / cortinaje,2.13%,409
,Terrestre / interior - paisaje,2.11%,406
,Terrestre / paisaje,14.81%,"2,843"
,Terrestre otro,3.10%,596
