categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1590,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1600,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1660,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1700,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1720,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1725,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1729,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1745,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1758,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1759,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1762,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1785,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1790,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1800,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1820,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1821,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1822,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1825,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1827,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1828,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1837,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres Indígenas,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1600,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1614,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1616,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1700,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1730,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1750,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1757,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1773,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1800,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1822,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres indígenas,1840,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
