categoria,anio,conteo,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Historia,1600,12.00,,,,,,,,,,,,,,
Historia,1650,2.00,,,,,,,,,,,,,,
Historia,1653,1.00,,,,,,,,,,,,,,
Historia,1680,33.00,,,,,,,,,,,,,,
Historia,1700,8.00,,,,,,,,,,,,,,
Historia,1758,1.00,,,,,,,,,,,,,,
Historia,1775,1.00,,,,,,,,,,,,,,
Historia,1776,23.00,,,,,,,,,,,,,,
Historia,1781,1.00,,,,,,,,,,,,,,
Historia,1800,1.00,,,,,,,,,,,,,,
Historia,1816,1.00,,,,,,,,,,,,,,
Historia,1826,2.00,,,,,,,,,,,,,,
