categoria,anio,conteo,,,,,,,,,,,,,,,,,
Costumbres,1600,2.000,,,,,,,,,,,,,,,,,
Costumbres,1612,1.000,,,,,,,,,,,,,,,,,
Costumbres,1630,1.000,,,,,,,,,,,,,,,,,
Costumbres,1700,,,,,,,,,,,,,,,,,,
Costumbres,1715,1.000,,,,,,,,,,,,,,,,,
Costumbres,1717,1.000,,,,,,,,,,,,,,,,,
Costumbres,1718,,,,,,,,,,,,,,,,,,
Costumbres,1720,1.000,,,,,,,,,,,,,,,,,
Costumbres,1758,,,,,,,,,,,,,,,,,,
Costumbres,1771,,,,,,,,,,,,,,,,,,
Costumbres,1800,1.000,,,,,,,,,,,,,,,,,
Costumbres,1812,,,,,,,,,,,,,,,,,,
Costumbres,1829,,,,,,,,,,,,,,,,,,
Costumbres,1830,,,,,,,,,,,,,,,,,,
Costumbres,1832,1.000,,,,,,,,,,,,,,,,,
Cristianización,1600,3.000,,,,,,,,,,,,,,,,,
Cristianización,1612,,,,,,,,,,,,,,,,,,
Cristianización,1630,,,,,,,,,,,,,,,,,,
Cristianización,1700,1.000,,,,,,,,,,,,,,,,,
Cristianización,1715,,,,,,,,,,,,,,,,,,
Cristianización,1717,,,,,,,,,,,,,,,,,,
Cristianización,1718,,,,,,,,,,,,,,,,,,
Cristianización,1720,,,,,,,,,,,,,,,,,,
Cristianización,1758,,,,,,,,,,,,,,,,,,
Cristianización,1771,,,,,,,,,,,,,,,,,,
Cristianización,1800,,,,,,,,,,,,,,,,,,
Cristianización,1812,,,,,,,,,,,,,,,,,,
Cristianización,1829,,,,,,,,,,,,,,,,,,
Cristianización,1830,,,,,,,,,,,,,,,,,,
Cristianización,1832,,,,,,,,,,,,,,,,,,
Política e intercambio,1600,3.000,,,,,,,,,,,,,,,,,
Política e intercambio,1612,,,,,,,,,,,,,,,,,,
Política e intercambio,1630,,,,,,,,,,,,,,,,,,
Política e intercambio,1700,3.000,,,,,,,,,,,,,,,,,
Política e intercambio,1715,,,,,,,,,,,,,,,,,,
Política e intercambio,1717,,,,,,,,,,,,,,,,,,
Política e intercambio,1718,1.000,,,,,,,,,,,,,,,,,
Política e intercambio,1720,,,,,,,,,,,,,,,,,,
Política e intercambio,1758,1.000,,,,,,,,,,,,,,,,,
Política e intercambio,1771,1.000,,,,,,,,,,,,,,,,,
Política e intercambio,1800,,,,,,,,,,,,,,,,,,
Política e intercambio,1812,1.000,,,,,,,,,,,,,,,,,
Política e intercambio,1829,1.000,,,,,,,,,,,,,,,,,
Política e intercambio,1830,2.000,,,,,,,,,,,,,,,,,
Política e intercambio,1832,,,,,,,,,,,,,,,,,,
