categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1758,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1770,2.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1776,3.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1778,2.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1779,2.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1782,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1783,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1788,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1789,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1806,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1810,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1812,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1813,2.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1815,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1816,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1817,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1819,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1823,1.000,,,,,,,,,,,,,,,,,,,,
Historia Norteamericana,1829,1.000,,,,,,,,,,,,,,,,,,,,
