categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1700,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1736,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1765,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1767,5.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1778,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Antigua,1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1550,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1700,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia Medieval,1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1690,9.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1700,3.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1797,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia moderna,1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
