pais,Advocaciones,,conteo,
Mexico,Lugar origen,Obras,163,
Colombia,Lugar origen,Obras,9,
Peru,Lugar origen,Obras,6,
Ecuador,Lugar origen,Obras,,
Bolivia,Lugar origen,Obras,7,
Venezuela,Lugar origen,Obras,16,
Argentina,Lugar origen,Obras,1,
Brazil,Lugar origen,Obras,,
Chile,Lugar origen,Obras,,
Guatemala,Lugar origen,Obras,3,
Nicaragua,Lugar origen,Obras,,
Puerto Rico,Lugar origen,Obras,1,
Cuba,Lugar origen,Obras,,
Honduras,Lugar origen,Obras,,
United States,Lugar origen,Obras,1,
Dominican Rep.,Lugar origen,Obras,,
Paraguay,Lugar origen,Obras,,
Spain,Lugar origen,Obras,,
