pais,Advocaciones,,conteo,
Mexico,Lugar origen,Obras,53,
Colombia,Lugar origen,Obras,36,
Peru,Lugar origen,Obras,27,
Ecuador,Lugar origen,Obras,6,
Bolivia,Lugar origen,Obras,14,
Venezuela,Lugar origen,Obras,14,
Argentina,Lugar origen,Obras,4,
Brazil,Lugar origen,Obras,10,
Chile,Lugar origen,Obras,14,
Guatemala,Lugar origen,Obras,1,
Nicaragua,Lugar origen,Obras,2,
Puerto Rico,Lugar origen,Obras,1,
Cuba,Lugar origen,Obras,0,
Honduras,Lugar origen,Obras,0,
United States,Lugar origen,Obras,1,
Dominican Rep.,Lugar origen,Obras,0,
Paraguay,Lugar origen,Obras,0,
Spain,Lugar origen,Obras,0,
