pais,Advocaciones,,conteo,
Mexico,Lugar origen,Obras,121.0,
Colombia,Lugar origen,Obras,93,
Peru,Lugar origen,Obras,21,
Ecuador,Lugar origen,Obras,11,
Bolivia,Lugar origen,Obras,5,
Venezuela,Lugar origen,Obras,9,
Argentina,Lugar origen,Obras,13,
Brazil,Lugar origen,Obras,2,
Chile,Lugar origen,Obras,8,
Guatemala,Lugar origen,Obras,3,
Nicaragua,Lugar origen,Obras,1,
Puerto Rico,Lugar origen,Obras,1,
Cuba,Lugar origen,Obras,0,
Honduras,Lugar origen,Obras,1,
United States,Lugar origen,Obras,0,
Dominican Rep.,Lugar origen,Obras,0,
Paraguay,Lugar origen,Obras,0,
Spain,Lugar origen,Obras,0,
