pais,Advocaciones,,conteo,
Mexico,Lugar origen,Obras,51.0,
Colombia,Lugar origen,Obras,8,
Peru,Lugar origen,Obras,2,
Ecuador,Lugar origen,Obras,5,
Bolivia,Lugar origen,Obras,0,
Venezuela,Lugar origen,Obras,13,
Argentina,Lugar origen,Obras,0,
Brazil,Lugar origen,Obras,0,
Chile,Lugar origen,Obras,0,
Guatemala,Lugar origen,Obras,2,
Nicaragua,Lugar origen,Obras,0,
Puerto Rico,Lugar origen,Obras,0,
Cuba,Lugar origen,Obras,1,
Honduras,Lugar origen,Obras,1,
United States,Lugar origen,Obras,0,
Dominican Rep.,Lugar origen,Obras,0,
Paraguay,Lugar origen,Obras,0,
Spain,Lugar origen,Obras,0,
