pais,Advocaciones,,conteo,
Mexico,Lugar origen,Obras,17.0,
Colombia,Lugar origen,Obras,17,
Peru,Lugar origen,Obras,22,
Ecuador,Lugar origen,Obras,26,
Bolivia,Lugar origen,Obras,9,
Venezuela,Lugar origen,Obras,7,
Argentina,Lugar origen,Obras,5,
Brazil,Lugar origen,Obras,3,
Chile,Lugar origen,Obras,7,
Guatemala,Lugar origen,Obras,2,
Nicaragua,Lugar origen,Obras,1,
Puerto Rico,Lugar origen,Obras,0,
Cuba,Lugar origen,Obras,0,
Honduras,Lugar origen,Obras,0,
United States,Lugar origen,Obras,0,
Dominican Rep.,Lugar origen,Obras,0,
Paraguay,Lugar origen,Obras,0,
Spain,Lugar origen,Obras,0,
