pais,Advocaciones,,conteo,
Mexico,Lugar origen,Obras,21.0,
Colombia,Lugar origen,Obras,13,
Peru,Lugar origen,Obras,7,
Ecuador,Lugar origen,Obras,14,
Bolivia,Lugar origen,Obras,3,
Venezuela,Lugar origen,Obras,2,
Argentina,Lugar origen,Obras,3,
Brazil,Lugar origen,Obras,3,
Chile,Lugar origen,Obras,1,
Guatemala,Lugar origen,Obras,1,
Nicaragua,Lugar origen,Obras,0,
Puerto Rico,Lugar origen,Obras,1,
Cuba,Lugar origen,Obras,0,
Honduras,Lugar origen,Obras,0,
United States,Lugar origen,Obras,0,
Dominican Rep.,Lugar origen,Obras,0,
Paraguay,Lugar origen,Obras,0,
Spain,Lugar origen,Obras,0,
