pais,Advocaciones,,conteo,
Mexico,Lugar origen,Obras,37.0,
Colombia,Lugar origen,Obras,19,
Peru,Lugar origen,Obras,18,
Ecuador,Lugar origen,Obras,5,
Bolivia,Lugar origen,Obras,3,
Venezuela,Lugar origen,Obras,8,
Argentina,Lugar origen,Obras,4,
Brazil,Lugar origen,Obras,0,
Chile,Lugar origen,Obras,3,
Guatemala,Lugar origen,Obras,1,
Nicaragua,Lugar origen,Obras,0,
Puerto Rico,Lugar origen,Obras,0,
Cuba,Lugar origen,Obras,0,
Honduras,Lugar origen,Obras,0,
United States,Lugar origen,Obras,0,
Dominican Rep.,Lugar origen,Obras,0,
Paraguay,Lugar origen,Obras,0,
Spain,Lugar origen,Obras,0,
