pais,Advocaciones,,conteo,
Mexico,Lugar origen,Obras,916.0,
Colombia,Lugar origen,Obras,658.0,
Peru,Lugar origen,Obras,549.0,
Ecuador,Lugar origen,Obras,182.0,
Bolivia,Lugar origen,Obras,130.0,
Venezuela,Lugar origen,Obras,127.0,
Argentina,Lugar origen,Obras,99.0,
Brazil,Lugar origen,Obras,69.0,
Chile,Lugar origen,Obras,56.0,
Guatemala,Lugar origen,Obras,27.0,
Nicaragua,Lugar origen,Obras,9.0,
Puerto Rico,Lugar origen,Obras,8.0,
Cuba,Lugar origen,Obras,4.0,
Honduras,Lugar origen,Obras,3.0,
United States,Lugar origen,Obras,3.0,
Dominican Rep.,Lugar origen,Obras,1.0,
Paraguay,Lugar origen,Obras,1.0,
Spain,Lugar origen,Obras,1.0,
