pais,Vida de la virgen,,conteo,
Mexico,Lugar origen,Obras,128,
Peru,Lugar origen,Obras,44,
Colombia,Lugar origen,Obras,101,
Argentina,Lugar origen,Obras,18,
Bolivia,Lugar origen,Obras,12,
Ecuador,Lugar origen,Obras,16,
Chile,Lugar origen,Obras,9,
Venezuela,Lugar origen,Obras,11,
Brazil,Lugar origen,Obras,1,
Guatemala,Lugar origen,Obras,7,
United States,Lugar origen,Obras,2,
Cuba,Lugar origen,Obras,0,
Honduras,Lugar origen,Obras,3,
Puerto Rico,Lugar origen,Obras,2,
Nicaragua,Lugar origen,Obras,3,
Costa Rica,Lugar origen,Obras,1,
