pais,Vida de la virgen,,conteo,
Mexico,Lugar origen,Obras,710.0,
Peru,Lugar origen,Obras,555.0,
Colombia,Lugar origen,Obras,493.0,
Argentina,Lugar origen,Obras,92.0,
Bolivia,Lugar origen,Obras,90.0,
Ecuador,Lugar origen,Obras,81.0,
Chile,Lugar origen,Obras,64.0,
Venezuela,Lugar origen,Obras,61.0,
Brazil,Lugar origen,Obras,57.0,
Guatemala,Lugar origen,Obras,30.0,
United States,Lugar origen,Obras,13.0,
Cuba,Lugar origen,Obras,6.0,
Honduras,Lugar origen,Obras,3.0,
Puerto Rico,Lugar origen,Obras,3.0,
Nicaragua,Lugar origen,Obras,2.0,
Costa Rica,Lugar origen,Obras,1.0,
