categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1575,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1600,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1625,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1640,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1650,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1657,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1660,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1663,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1676,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1689,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1690,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1700,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1705,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1710,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1720,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronación y Eucaristía,1725,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
