categoria,anio,,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1600,5.65%,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1700,23.16%,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1715,1.13%,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1750,2.26%,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1759,1.69%,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1775,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1777,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1780,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías al corazón,1835,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1550,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1600,8.47%,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1615,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1649,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1656,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1660,1.13%,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1670,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1680,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1685,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1690,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1700,14.69%,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1705,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1707,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1715,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1740,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1750,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1763,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1781,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1799,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1800,1.13%,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo Adulto,1827,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
