categoria,anio,conteo,,,
Académicas y seculares,1600,1.00,,,
Académicas y seculares,1649,,,,
Académicas y seculares,1655,,,,
Académicas y seculares,1682,,,,
Académicas y seculares,1689,1.00,,,
Académicas y seculares,1700,34.00,,,
Académicas y seculares,1721,,,,
Académicas y seculares,1738,,,,
Académicas y seculares,1748,,,,
Académicas y seculares,1750,,,,
Académicas y seculares,1754,,,,
Académicas y seculares,1755,,,,
Académicas y seculares,1759,,,,
Académicas y seculares,1760,,,,
Académicas y seculares,1762,,,,
Académicas y seculares,1766,,,,
Académicas y seculares,1775,1.00,,,
Académicas y seculares,1781,,,,
Académicas y seculares,1785,,,,
Académicas y seculares,1788,1.00,,,
Académicas y seculares,1790,1.00,,,
Académicas y seculares,1795,1.00,,,
Académicas y seculares,1797,3.00,,,
Académicas y seculares,1800,1.00,,,
Académicas y seculares,1819,,,,
Alegorías imperiales y políticas,1600,,,,
Alegorías imperiales y políticas,1649,,,,
Alegorías imperiales y políticas,1655,,,,
Alegorías imperiales y políticas,1682,1.00,,,
Alegorías imperiales y políticas,1689,,,,
Alegorías imperiales y políticas,1700,4.00,,,
Alegorías imperiales y políticas,1721,1.00,,,
Alegorías imperiales y políticas,1738,,,,
Alegorías imperiales y políticas,1748,,,,
Alegorías imperiales y políticas,1750,,,,
Alegorías imperiales y políticas,1754,,,,
Alegorías imperiales y políticas,1755,,,,
Alegorías imperiales y políticas,1759,,,,
Alegorías imperiales y políticas,1760,1.00,,,
Alegorías imperiales y políticas,1762,,,,
Alegorías imperiales y políticas,1766,,,,
Alegorías imperiales y políticas,1775,,,,
Alegorías imperiales y políticas,1781,,,,
Alegorías imperiales y políticas,1785,,,,
Alegorías imperiales y políticas,1788,,,,
Alegorías imperiales y políticas,1790,,,,
Alegorías imperiales y políticas,1795,,,,
Alegorías imperiales y políticas,1797,,,,
Alegorías imperiales y políticas,1800,2.00,,,
Alegorías imperiales y políticas,1819,1.00,,,
Alegorías Órdenes y vida religiosa,1600,8.00,,,
Alegorías Órdenes y vida religiosa,1649,1.00,,,
Alegorías Órdenes y vida religiosa,1655,1.00,,,
Alegorías Órdenes y vida religiosa,1682,,,,
Alegorías Órdenes y vida religiosa,1689,1.00,,,
Alegorías Órdenes y vida religiosa,1700,14.00,,,
Alegorías Órdenes y vida religiosa,1721,,,,
Alegorías Órdenes y vida religiosa,1738,1.00,,,
Alegorías Órdenes y vida religiosa,1748,1.00,,,
Alegorías Órdenes y vida religiosa,1750,,,,
Alegorías Órdenes y vida religiosa,1754,1.00,,,
Alegorías Órdenes y vida religiosa,1755,1.00,,,
Alegorías Órdenes y vida religiosa,1759,1.00,,,
Alegorías Órdenes y vida religiosa,1760,,,,
Alegorías Órdenes y vida religiosa,1762,1.00,,,
Alegorías Órdenes y vida religiosa,1766,1.00,,,
Alegorías Órdenes y vida religiosa,1775,,,,
Alegorías Órdenes y vida religiosa,1781,1.00,,,
Alegorías Órdenes y vida religiosa,1785,1.00,,,
Alegorías Órdenes y vida religiosa,1788,,,,
Alegorías Órdenes y vida religiosa,1790,,,,
Alegorías Órdenes y vida religiosa,1795,,,,
Alegorías Órdenes y vida religiosa,1797,,,,
Alegorías Órdenes y vida religiosa,1800,2.00,,,
Alegorías Órdenes y vida religiosa,1819,,,,
Iglesia y vida cristiana,1600,3.00,,,
Iglesia y vida cristiana,1649,,,,
Iglesia y vida cristiana,1655,,,,
Iglesia y vida cristiana,1682,,,,
Iglesia y vida cristiana,1689,,,,
Iglesia y vida cristiana,1700,1.00,,,
Iglesia y vida cristiana,1721,,,,
Iglesia y vida cristiana,1738,,,,
Iglesia y vida cristiana,1748,,,,
Iglesia y vida cristiana,1750,1.00,,,
Iglesia y vida cristiana,1754,,,,
Iglesia y vida cristiana,1755,,,,
Iglesia y vida cristiana,1759,,,,
Iglesia y vida cristiana,1760,,,,
Iglesia y vida cristiana,1762,,,,
Iglesia y vida cristiana,1766,,,,
Iglesia y vida cristiana,1775,,,,
Iglesia y vida cristiana,1781,,,,
Iglesia y vida cristiana,1785,1.00,,,
Iglesia y vida cristiana,1788,,,,
Iglesia y vida cristiana,1790,,,,
Iglesia y vida cristiana,1795,,,,
Iglesia y vida cristiana,1797,,,,
Iglesia y vida cristiana,1800,1.00,,,
Iglesia y vida cristiana,1819,,,,
