categoria,anio,% de total conteo,conteo
"Estaciones, continentes y países",1600,4.96%,7
"Estaciones, continentes y países",1657,2.84%,4
"Estaciones, continentes y países",1670,1.42%,2
"Estaciones, continentes y países",1683,0.71%,1
"Estaciones, continentes y países",1700,9.22%,13
"Estaciones, continentes y países",1778,2.13%,3
"Estaciones, continentes y países",1780,0.71%,1
"Estaciones, continentes y países",1787,1.42%,2
"Estaciones, continentes y países",1788,6.38%,9
"Estaciones, continentes y países",1800,2.84%,4
"Estaciones, continentes y países",1826,0.71%,1
Sibilas,1600,9.22%,13
Sibilas,1700,19.15%,27
Sibilas,1760,0.71%,1
Virtudes,1500,0.71%,1
Virtudes,1630,0.71%,1
Virtudes,1700,9.93%,14
Virtudes,1758,0.71%,1
Virtudes,1768,0.71%,1
Virtudes,1773,3.55%,5
Virtudes,1800,0.71%,1
Zodiaco,1500,4.26%,6
Zodiaco,1600,2.84%,4
Zodiaco,1650,4.26%,6
Zodiaco,1681,6.38%,9
Zodiaco,1700,2.13%,3
