categoria,anio,conteo,,,,,,,,,,,,,,,,
Emblemas,1600,2.00,,,,,,,,,,,,,,,,
Emblemas,1601,1.00,,,,,,,,,,,,,,,,
Emblemas,1663,,,,,,,,,,,,,,,,,
Emblemas,1673,,,,,,,,,,,,,,,,,
Emblemas,1675,,,,,,,,,,,,,,,,,
Emblemas,1685,,,,,,,,,,,,,,,,,
Emblemas,1686,,,,,,,,,,,,,,,,,
Emblemas,1689,,,,,,,,,,,,,,,,,
Emblemas,1700,34.00,,,,,,,,,,,,,,,,
Emblemas,1706,,,,,,,,,,,,,,,,,
Emblemas,1709,,,,,,,,,,,,,,,,,
Emblemas,1740,4.00,,,,,,,,,,,,,,,,
Emblemas,1775,2.00,,,,,,,,,,,,,,,,
Emblemas,1800,34.00,,,,,,,,,,,,,,,,
Naves,1600,1.00,,,,,,,,,,,,,,,,
Naves,1601,,,,,,,,,,,,,,,,,
Naves,1663,,,,,,,,,,,,,,,,,
Naves,1673,,,,,,,,,,,,,,,,,
Naves,1675,,,,,,,,,,,,,,,,,
Naves,1685,,,,,,,,,,,,,,,,,
Naves,1686,,,,,,,,,,,,,,,,,
Naves,1689,,,,,,,,,,,,,,,,,
Naves,1700,9.00,,,,,,,,,,,,,,,,
Naves,1706,1.00,,,,,,,,,,,,,,,,
Naves,1709,,,,,,,,,,,,,,,,,
Naves,1740,,,,,,,,,,,,,,,,,
Naves,1775,,,,,,,,,,,,,,,,,
Naves,1800,,,,,,,,,,,,,,,,,
Triunfos,1600,3.00,,,,,,,,,,,,,,,,
Triunfos,1601,,,,,,,,,,,,,,,,,
Triunfos,1663,1.00,,,,,,,,,,,,,,,,
Triunfos,1673,1.00,,,,,,,,,,,,,,,,
Triunfos,1675,2.00,,,,,,,,,,,,,,,,
Triunfos,1685,1.00,,,,,,,,,,,,,,,,
Triunfos,1686,2.00,,,,,,,,,,,,,,,,
Triunfos,1689,1.00,,,,,,,,,,,,,,,,
Triunfos,1700,18.00,,,,,,,,,,,,,,,,
Triunfos,1706,,,,,,,,,,,,,,,,,
Triunfos,1709,1.00,,,,,,,,,,,,,,,,
Triunfos,1740,,,,,,,,,,,,,,,,,
Triunfos,1775,,,,,,,,,,,,,,,,,
Triunfos,1800,,,,,,,,,,,,,,,,,
