pais,,,conteo,Participación,,,,
Santo,Descriptor,Obras,3994,20.80%,,,,24. Ángeles en América Colonial
Ángeles,Descriptor,Obras,3731,19.43%,,,,
Hombre,Descriptor,Obras,2876,14.98%,,,,
Retrato,Descriptor,Obras,2824,14.71%,,,,
Mujer,Descriptor,Obras,2616,13.63%,,,,
Cartela,Descriptor,Obras,2319,12.08%,,,,
Paisaje,Descriptor,Obras,2248,11.71%,,,,
Cristo,Descriptor,Obras,2198,11.45%,,,,
Cielo,Descriptor,Obras,2043,10.64%,,,,
Niño Jesús,Descriptor,Obras,1938,10.09%,,,,
Flores,Descriptor,Obras,1673,8.71%,,,,
Túnica,Descriptor,Obras,1655,8.62%,,,,
Virgen,Descriptor,Obras,1619,8.43%,,,,
Libro(s),Descriptor,Obras,1545,8.05%,,,,
Virgen María,Descriptor,Obras,1458,7.59%,,,,
Mujeres,Descriptor,Obras,1413,7.36%,,,,
Corona,Descriptor,Obras,1411,7.35%,,,,
Cortinaje,Descriptor,Obras,1271,6.62%,,,,
Virgen con niño,Descriptor,Obras,1203,6.27%,,,,
Hombres,Descriptor,Obras,1174,6.11%,,,,
Santos,Descriptor,Obras,1131,5.89%,,,,
Cruz,Descriptor,Obras,1086,5.66%,,,,
Apóstoles,Descriptor,Obras,1085,5.65%,,,,
De rodillas,Descriptor,Obras,1074,5.59%,,,,
Mesa,Descriptor,Obras,1072,5.58%,,,,
Santa,Descriptor,Obras,1062,5.53%,,,,
Marco,Descriptor,Obras,1002,5.22%,,,,
Querubines,Descriptor,Obras,971,5.06%,,,,
Monja,Descriptor,Obras,933,4.86%,,,,
Ángel,Descriptor,Obras,920,4.79%,,,,
Espíritu Santo,Descriptor,Obras,869,4.53%,,,,
Árbol,Descriptor,Obras,856,4.46%,,,,
Filacteria,Descriptor,Obras,852,4.44%,,,,
Jesús,Descriptor,Obras,822,4.28%,,,,
Blanco y negro,Descriptor,Obras,749,3.90%,,,,
Ciudad,Descriptor,Obras,747,3.89%,,,,
Naturaleza,Descriptor,Obras,746,3.89%,,,,
Traje colonial,Descriptor,Obras,725,3.78%,,,,
Sombrero,Descriptor,Obras,709,3.69%,,,,
Trinidad,Descriptor,Obras,692,3.60%,,,,
Manos,Descriptor,Obras,684,3.56%,,,,
Sagrada familia,Descriptor,Obras,684,3.56%,,,,
Soldados,Descriptor,Obras,683,3.56%,,,,
Nube,Descriptor,Obras,655,3.41%,,,,
Santas,Descriptor,Obras,635,3.31%,,,,
Telas,Descriptor,Obras,633,3.30%,,,,
Joyas,Descriptor,Obras,621,3.23%,,,,
Desnudo,Descriptor,Obras,601,3.13%,,,,
Niños,Descriptor,Obras,599,3.12%,,,,
Árboles,Descriptor,Obras,585,3.05%,,,,
Dios,Descriptor,Obras,577,3.01%,,,,
Columna,Descriptor,Obras,565,2.94%,,,,
José,Descriptor,Obras,564,2.94%,,,,
Monjas,Descriptor,Obras,562,2.93%,,,,
Rostro,Descriptor,Obras,560,2.92%,,,,
Querubín,Descriptor,Obras,549,2.86%,,,,
Devoción,Descriptor,Obras,544,2.83%,,,,
Órdenes religiosas,Descriptor,Obras,527,2.74%,,,,
Obispo,Descriptor,Obras,521,2.71%,,,,
Arcángel,Descriptor,Obras,494,2.57%,,,,
Interior,Descriptor,Obras,491,2.56%,,,,
Indígenas,Descriptor,Obras,489,2.55%,,,,
Capa,Descriptor,Obras,488,2.54%,,,,
Sillas,Descriptor,Obras,486,2.53%,,,,
Muerte,Descriptor,Obras,484,2.52%,,,,
Dominicos,Descriptor,Obras,483,2.52%,,,,
Atadura,Descriptor,Obras,479,2.49%,,,,
Sacerdote,Descriptor,Obras,474,2.47%,,,,
Clérigo,Descriptor,Obras,460,2.40%,,,,
Coronación,Descriptor,Obras,457,2.38%,,,,
Aves,Descriptor,Obras,453,2.36%,,,,
Alegoría,Descriptor,Obras,450,2.34%,,,,
Oración,Descriptor,Obras,446,2.32%,,,,
Arcángeles,Descriptor,Obras,443,2.31%,,,,
Familia,Descriptor,Obras,417,2.17%,,,,
María,Descriptor,Obras,402,2.09%,,,,
Crucifixión,Descriptor,Obras,393,2.05%,,,,
Marco de flores,Descriptor,Obras,377,1.96%,,,,
Mártir,Descriptor,Obras,376,1.96%,,,,
