categoria,anio,4.49%,conteo
Ángel,1500,,
Ángel,1590,1.12%,1.00
Ángel,1600,2.25%,2.00
Ángel,1610,,
Ángel,1650,2.25%,2.00
Ángel,1660,,
Ángel,1670,1.12%,1.00
Ángel,1700,7.87%,7.00
Ángel,1720,,
Ángel,1734,1.12%,1.00
Ángel,1758,1.12%,1.00
Ángel,1765,1.12%,1.00
Ángel,1778,1.12%,1.00
Ángel,1784,2.25%,2.00
Ángel,1804,,
Ángel de la Guarda,1500,,
Ángel de la Guarda,1590,,
Ángel de la Guarda,1600,4.49%,4.00
Ángel de la Guarda,1610,2.25%,2.00
Ángel de la Guarda,1650,1.12%,1.00
Ángel de la Guarda,1660,1.12%,1.00
Ángel de la Guarda,1670,,
Ángel de la Guarda,1700,11.24%,10.00
Ángel de la Guarda,1720,1.12%,1.00
Ángel de la Guarda,1734,,
Ángel de la Guarda,1758,,
Ángel de la Guarda,1765,,
Ángel de la Guarda,1778,,
Ángel de la Guarda,1784,,
Ángel de la Guarda,1804,,
Ángeles militares,1500,,
Ángeles militares,1590,,
Ángeles militares,1600,12.36%,11.00
Ángeles militares,1610,,
Ángeles militares,1650,,
Ángeles militares,1660,,
Ángeles militares,1670,,
Ángeles militares,1700,11.24%,10.00
Ángeles militares,1720,,
Ángeles militares,1734,,
Ángeles militares,1758,,
Ángeles militares,1765,,
Ángeles militares,1778,,
Ángeles militares,1784,,
Ángeles militares,1804,,
Ángeles músicos,1500,1.12%,1.00
Ángeles músicos,1590,,
Ángeles músicos,1600,,
Ángeles músicos,1610,,
Ángeles músicos,1650,,
Ángeles músicos,1660,,
Ángeles músicos,1670,,
Ángeles músicos,1700,4.49%,4.00
Ángeles músicos,1720,,
Ángeles músicos,1734,1.12%,1.00
Ángeles músicos,1758,,
Ángeles músicos,1765,,
Ángeles músicos,1778,,
Ángeles músicos,1784,,
Ángeles músicos,1804,1.12%,1.00
