categoria,anio,,conteo
Arcángeles Apócrifos,1500,,
Arcángeles Apócrifos,1580,,
Arcángeles Apócrifos,1581,,
Arcángeles Apócrifos,1600,3.64%,15.00
Arcángeles Apócrifos,1610,0.49%,2.00
Arcángeles Apócrifos,1615,0.24%,1.00
Arcángeles Apócrifos,1620,,
Arcángeles Apócrifos,1628,,
Arcángeles Apócrifos,1631,,
Arcángeles Apócrifos,1640,,
Arcángeles Apócrifos,1645,0.73%,3.00
Arcángeles Apócrifos,1650,0.49%,2.00
Arcángeles Apócrifos,1657,,
Arcángeles Apócrifos,1660,,
Arcángeles Apócrifos,1666,,
Arcángeles Apócrifos,1669,0.24%,1.00
Arcángeles Apócrifos,1670,0.73%,3.00
Arcángeles Apócrifos,1680,1.21%,5.00
Arcángeles Apócrifos,1682,,
Arcángeles Apócrifos,1690,0.49%,2.00
Arcángeles Apócrifos,1699,0.24%,1.00
Arcángeles Apócrifos,1700,4.13%,17.00
Arcángeles Apócrifos,1701,0.24%,1.00
Arcángeles Apócrifos,1708,,
Arcángeles Apócrifos,1714,,
Arcángeles Apócrifos,1715,,
Arcángeles Apócrifos,1720,0.24%,1.00
Arcángeles Apócrifos,1725,,
Arcángeles Apócrifos,1727,,
Arcángeles Apócrifos,1739,,
Arcángeles Apócrifos,1742,1.21%,5.00
Arcángeles Apócrifos,1750,0.24%,1.00
Arcángeles Apócrifos,1754,,
Arcángeles Apócrifos,1756,,
Arcángeles Apócrifos,1768,,
Arcángeles Apócrifos,1770,,
Arcángeles Apócrifos,1771,,
Arcángeles Apócrifos,1772,,
Arcángeles Apócrifos,1775,,
Arcángeles Apócrifos,1780,,
Arcángeles Apócrifos,1800,,
Arcángeles Apócrifos,1817,0.24%,1.00
Arcángeles Apócrifos,1818,,
Arcángeles Apócrifos,1820,,
Arcángeles de Palermo,1500,,
Arcángeles de Palermo,1580,,
Arcángeles de Palermo,1581,,
Arcángeles de Palermo,1600,0.24%,1.00
Arcángeles de Palermo,1610,,
Arcángeles de Palermo,1615,,
Arcángeles de Palermo,1620,,
Arcángeles de Palermo,1628,,
Arcángeles de Palermo,1631,,
Arcángeles de Palermo,1640,,
Arcángeles de Palermo,1645,,
Arcángeles de Palermo,1650,,
Arcángeles de Palermo,1657,,
Arcángeles de Palermo,1660,,
Arcángeles de Palermo,1666,,
Arcángeles de Palermo,1669,,
Arcángeles de Palermo,1670,,
Arcángeles de Palermo,1680,,
Arcángeles de Palermo,1682,,
Arcángeles de Palermo,1690,,
Arcángeles de Palermo,1699,,
Arcángeles de Palermo,1700,0.73%,3.00
Arcángeles de Palermo,1701,,
Arcángeles de Palermo,1708,,
Arcángeles de Palermo,1714,,
Arcángeles de Palermo,1715,,
Arcángeles de Palermo,1720,,
Arcángeles de Palermo,1725,,
Arcángeles de Palermo,1727,,
Arcángeles de Palermo,1739,,
Arcángeles de Palermo,1742,,
Arcángeles de Palermo,1750,,
Arcángeles de Palermo,1754,,
Arcángeles de Palermo,1756,,
Arcángeles de Palermo,1768,,
Arcángeles de Palermo,1770,,
Arcángeles de Palermo,1771,,
Arcángeles de Palermo,1772,,
Arcángeles de Palermo,1775,,
Arcángeles de Palermo,1780,,
Arcángeles de Palermo,1800,,
Arcángeles de Palermo,1817,,
Arcángeles de Palermo,1818,,
Arcángeles de Palermo,1820,,
Gabriel,1500,,
Gabriel,1580,,
Gabriel,1581,,
Gabriel,1600,2.67%,11.00
Gabriel,1610,0.24%,1.00
Gabriel,1615,,
Gabriel,1620,,
Gabriel,1628,,
Gabriel,1631,,
Gabriel,1640,,
Gabriel,1645,0.24%,1.00
Gabriel,1650,,
Gabriel,1657,,
Gabriel,1660,,
Gabriel,1666,0.24%,1.00
Gabriel,1669,,
Gabriel,1670,,
Gabriel,1680,,
Gabriel,1682,,
Gabriel,1690,0.24%,1.00
Gabriel,1699,,
Gabriel,1700,2.18%,9.00
Gabriel,1701,,
Gabriel,1708,,
Gabriel,1714,,
Gabriel,1715,,
Gabriel,1720,,
Gabriel,1725,0.24%,1.00
Gabriel,1727,,
Gabriel,1739,0.24%,1.00
Gabriel,1742,0.24%,1.00
Gabriel,1750,,
Gabriel,1754,,
Gabriel,1756,0.24%,1.00
Gabriel,1768,,
Gabriel,1770,,
Gabriel,1771,,
Gabriel,1772,,
Gabriel,1775,,
Gabriel,1780,,
Gabriel,1800,,
Gabriel,1817,,
Gabriel,1818,,
Gabriel,1820,,
Miguel,1500,,
Miguel,1580,0.24%,1.00
Miguel,1581,0.24%,1.00
Miguel,1600,7.52%,31.00
Miguel,1610,,
Miguel,1615,0.24%,1.00
Miguel,1620,0.24%,1.00
Miguel,1628,0.24%,1.00
Miguel,1631,0.24%,1.00
Miguel,1640,0.73%,3.00
Miguel,1645,0.24%,1.00
Miguel,1650,1.94%,8.00
Miguel,1657,0.49%,2.00
Miguel,1660,0.49%,2.00
Miguel,1666,,
Miguel,1669,,
Miguel,1670,0.73%,3.00
Miguel,1680,0.97%,4.00
Miguel,1682,0.24%,1.00
Miguel,1690,0.24%,1.00
Miguel,1699,,
Miguel,1700,13.35%,55.00
Miguel,1701,,
Miguel,1708,0.24%,1.00
Miguel,1714,0.24%,1.00
Miguel,1715,,
Miguel,1720,0.24%,1.00
Miguel,1725,0.24%,1.00
Miguel,1727,,
Miguel,1739,0.24%,1.00
Miguel,1742,0.24%,1.00
Miguel,1750,0.49%,2.00
Miguel,1754,0.24%,1.00
Miguel,1756,0.24%,1.00
Miguel,1768,0.24%,1.00
Miguel,1770,0.24%,1.00
Miguel,1771,0.24%,1.00
Miguel,1772,,
Miguel,1775,,
Miguel,1780,0.24%,1.00
Miguel,1800,0.24%,1.00
Miguel,1817,,
Miguel,1818,0.24%,1.00
Miguel,1820,,
Rafael,1500,0.24%,1.00
Rafael,1580,,
Rafael,1581,,
Rafael,1600,2.18%,9.00
Rafael,1610,,
Rafael,1615,,
Rafael,1620,0.49%,2.00
Rafael,1628,,
Rafael,1631,,
Rafael,1640,,
Rafael,1645,0.24%,1.00
Rafael,1650,,
Rafael,1657,,
Rafael,1660,,
Rafael,1666,,
Rafael,1669,,
Rafael,1670,0.24%,1.00
Rafael,1680,0.49%,2.00
Rafael,1682,,
Rafael,1690,,
Rafael,1699,,
Rafael,1700,5.83%,24.00
Rafael,1701,,
Rafael,1708,,
Rafael,1714,,
Rafael,1715,0.24%,1.00
Rafael,1720,,
Rafael,1725,,
Rafael,1727,0.24%,1.00
Rafael,1739,,
Rafael,1742,,
Rafael,1750,0.49%,2.00
Rafael,1754,,
Rafael,1756,0.24%,1.00
Rafael,1768,,
Rafael,1770,0.24%,1.00
Rafael,1771,,
Rafael,1772,0.24%,1.00
Rafael,1775,0.24%,1.00
Rafael,1780,0.24%,1.00
Rafael,1800,0.49%,2.00
Rafael,1817,,
Rafael,1818,,
Rafael,1820,0.24%,1.00
