categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1600,6.000,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1640,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1650,5.000,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1657,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1659,1.000,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1670,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1683,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1685,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1700,1.000,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1734,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1735,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1736,1.000,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1738,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1764,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1765,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1774,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1778,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1812,,,,,,,,,,,,,,,,,,,,,,
Conquista de Canaán,1835,,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1600,7.000,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1640,1.000,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1650,2.000,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1657,3.000,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1659,,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1670,,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1683,,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1685,,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1700,5.000,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1734,,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1735,,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1736,,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1738,,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1764,1.000,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1765,1.000,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1774,1.000,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1778,,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1812,1.000,,,,,,,,,,,,,,,,,,,,,
Elías – Eliseo,1835,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1600,1.000,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1640,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1650,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1657,1.000,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1659,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1670,1.000,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1683,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1685,1.000,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1700,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1734,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1735,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1736,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1738,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1764,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1765,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1774,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1778,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1812,,,,,,,,,,,,,,,,,,,,,,
Escenas bíblicas históricas,1835,,,,,,,,,,,,,,,,,,,,,,
Esther,1600,,,,,,,,,,,,,,,,,,,,,,
Esther,1640,,,,,,,,,,,,,,,,,,,,,,
Esther,1650,,,,,,,,,,,,,,,,,,,,,,
Esther,1657,,,,,,,,,,,,,,,,,,,,,,
