categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1600,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1627,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1657,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1689,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1700,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1725,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1735,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1754,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1791,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1825,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
