categoria,anio,conteo,,,,,,,,,,,,,,,,,,
Abdías,1600,1.00,,,,,,,,,,,,,,,,,,
Abdías,1620,,,,,,,,,,,,,,,,,,,
Abdías,1650,,,,,,,,,,,,,,,,,,,
Abdías,1657,,,,,,,,,,,,,,,,,,,
Abdías,1685,,,,,,,,,,,,,,,,,,,
Abdías,1690,,,,,,,,,,,,,,,,,,,
Abdías,1700,,,,,,,,,,,,,,,,,,,
Abdías,1742,,,,,,,,,,,,,,,,,,,
Abdías,1764,,,,,,,,,,,,,,,,,,,
Abdías,1770,,,,,,,,,,,,,,,,,,,
Abdías,1782,,,,,,,,,,,,,,,,,,,
Abdías,1786,,,,,,,,,,,,,,,,,,,
Abdías,1793,,,,,,,,,,,,,,,,,,,
Abdías,1796,,,,,,,,,,,,,,,,,,,
Abdías,1797,,,,,,,,,,,,,,,,,,,
Abdías,1800,1.00,,,,,,,,,,,,,,,,,,
Ageo,1600,,,,,,,,,,,,,,,,,,,
Ageo,1620,,,,,,,,,,,,,,,,,,,
Ageo,1650,,,,,,,,,,,,,,,,,,,
Ageo,1657,,,,,,,,,,,,,,,,,,,
Ageo,1685,1.00,,,,,,,,,,,,,,,,,,
Ageo,1690,,,,,,,,,,,,,,,,,,,
Ageo,1700,,,,,,,,,,,,,,,,,,,
Ageo,1742,,,,,,,,,,,,,,,,,,,
Ageo,1764,,,,,,,,,,,,,,,,,,,
Ageo,1770,,,,,,,,,,,,,,,,,,,
Ageo,1782,,,,,,,,,,,,,,,,,,,
Ageo,1786,,,,,,,,,,,,,,,,,,,
Ageo,1793,,,,,,,,,,,,,,,,,,,
Ageo,1796,,,,,,,,,,,,,,,,,,,
Ageo,1797,,,,,,,,,,,,,,,,,,,
Ageo,1800,,,,,,,,,,,,,,,,,,,
Amos,1600,1.00,,,,,,,,,,,,,,,,,,
Amos,1620,,,,,,,,,,,,,,,,,,,
Amos,1650,,,,,,,,,,,,,,,,,,,
Amos,1657,,,,,,,,,,,,,,,,,,,
Amos,1685,1.00,,,,,,,,,,,,,,,,,,
Amos,1690,,,,,,,,,,,,,,,,,,,
Amos,1700,,,,,,,,,,,,,,,,,,,
Amos,1742,,,,,,,,,,,,,,,,,,,
Amos,1764,,,,,,,,,,,,,,,,,,,
Amos,1770,,,,,,,,,,,,,,,,,,,
Amos,1782,,,,,,,,,,,,,,,,,,,
Amos,1786,,,,,,,,,,,,,,,,,,,
Amos,1793,,,,,,,,,,,,,,,,,,,
Amos,1796,,,,,,,,,,,,,,,,,,,
Amos,1797,1.00,,,,,,,,,,,,,,,,,,
Amos,1800,1.00,,,,,,,,,,,,,,,,,,
Baruc,1600,,,,,,,,,,,,,,,,,,,
Baruc,1620,,,,,,,,,,,,,,,,,,,
Baruc,1650,,,,,,,,,,,,,,,,,,,
Baruc,1657,,,,,,,,,,,,,,,,,,,
Baruc,1685,,,,,,,,,,,,,,,,,,,
Baruc,1690,,,,,,,,,,,,,,,,,,,
Baruc,1700,,,,,,,,,,,,,,,,,,,
Baruc,1742,,,,,,,,,,,,,,,,,,,
Baruc,1764,,,,,,,,,,,,,,,,,,,
Baruc,1770,,,,,,,,,,,,,,,,,,,
Baruc,1782,,,,,,,,,,,,,,,,,,,
Baruc,1786,,,,,,,,,,,,,,,,,,,
Baruc,1793,,,,,,,,,,,,,,,,,,,
Baruc,1796,,,,,,,,,,,,,,,,,,,
Baruc,1797,,,,,,,,,,,,,,,,,,,
Baruc,1800,,,,,,,,,,,,,,,,,,,
Daniel,1600,14.00,,,,,,,,,,,,,,,,,,
Daniel,1620,1.00,,,,,,,,,,,,,,,,,,
Daniel,1650,1.00,,,,,,,,,,,,,,,,,,
Daniel,1657,1.00,,,,,,,,,,,,,,,,,,
Daniel,1685,,,,,,,,,,,,,,,,,,,
Daniel,1690,,,,,,,,,,,,,,,,,,,
Daniel,1700,3.00,,,,,,,,,,,,,,,,,,
Daniel,1742,1.00,,,,,,,,,,,,,,,,,,
Daniel,1764,1.00,,,,,,,,,,,,,,,,,,
Daniel,1770,,,,,,,,,,,,,,,,,,,
Daniel,1782,,,,,,,,,,,,,,,,,,,
Daniel,1786,,,,,,,,,,,,,,,,,,,
Daniel,1793,,,,,,,,,,,,,,,,,,,
Daniel,1796,,,,,,,,,,,,,,,,,,,
Daniel,1797,1.00,,,,,,,,,,,,,,,,,,
