categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1550,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1575,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1600,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1627,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1630,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1637,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1638,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1650,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1657,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1660,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1670,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1680,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1689,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1700,16.00,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1705,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1740,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1759,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1770,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1775,,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1780,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1787,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1790,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Buen Pastor,1800,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1550,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1575,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1600,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1627,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1630,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1637,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1638,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1650,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1657,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1660,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1670,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1680,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1689,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1700,3.00,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1705,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1740,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1759,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1770,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1775,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1780,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1787,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1790,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras devocionales,1800,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1550,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1575,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1600,4.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1627,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1630,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1637,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1638,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1650,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1657,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1660,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1670,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1680,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1689,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1700,10.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1705,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1740,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1759,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1770,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1775,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1780,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1787,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1790,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,1800,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1550,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1575,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1600,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1627,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1630,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1637,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1638,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1650,3.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1657,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1660,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1670,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1680,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1689,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1700,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1705,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1740,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1759,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1770,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1775,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1780,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1787,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1790,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador niño,1800,,,,,,,,,,,,,,,,,,,,,,,,,,
