categoria,anio,conteo,,,,,,,
Apariciones posteriores,1718,1.0000,,,,,,,
Apariciones posteriores,1720,1.0000,,,,,,,
Apariciones posteriores,1725,1.0000,,,,,,,
Apariciones posteriores,1775,,,,,,,,
Apariciones posteriores,1805,,,,,,,,
Apariciones posteriores,1808,,,,,,,,
Ascensión,1718,,,,,,,,
Ascensión,1720,,,,,,,,
Ascensión,1725,,,,,,,,
Ascensión,1775,1.0000,,,,,,,
Ascensión,1805,,,,,,,,
Ascensión,1808,,,,,,,,
Resurrección,1718,,,,,,,,
Resurrección,1720,,,,,,,,
Resurrección,1725,,,,,,,,
Resurrección,1775,,,,,,,,
Resurrección,1805,1.0000,,,,,,,
Resurrección,1808,1.0000,,,,,,,
