categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1550,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1600,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1627,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1630,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1650,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1700,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1736,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1794,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1800,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bautismo de Jesús,1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1600,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1670,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1675,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1695,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1698,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1700,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1720,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1738,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1740,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1750,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1800,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milagros cristológicos,1839,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1600,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1625,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1647,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1675,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1680,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1690,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1700,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1720,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1750,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1764,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicación,1772,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
