categoria,anio,conteo,,,,,,,,,,,,,,,
Devociones Pasión,1600,2.00,,,,,,,,,,,,,,,
Devociones Pasión,1676,,,,,,,,,,,,,,,,
Devociones Pasión,1690,1.00,,,,,,,,,,,,,,,
Devociones Pasión,1700,6.00,,,,,,,,,,,,,,,
Devociones Pasión,1732,,,,,,,,,,,,,,,,
Devociones Pasión,1750,2.00,,,,,,,,,,,,,,,
Devociones Pasión,1770,1.00,,,,,,,,,,,,,,,
Devociones Pasión,1777,1.00,,,,,,,,,,,,,,,
Devociones Pasión,1779,1.00,,,,,,,,,,,,,,,
Devociones Pasión,1784,1.00,,,,,,,,,,,,,,,
Devociones Pasión,1800,2.00,,,,,,,,,,,,,,,
Devociones Pasión,1818,,,,,,,,,,,,,,,,
Devociones Pasión,1834,,,,,,,,,,,,,,,,
Series de la Pasión,1600,12.00,,,,,,,,,,,,,,,
Series de la Pasión,1676,11.00,,,,,,,,,,,,,,,
Series de la Pasión,1690,,,,,,,,,,,,,,,,
Series de la Pasión,1700,3.00,,,,,,,,,,,,,,,
Series de la Pasión,1732,15.00,,,,,,,,,,,,,,,
Series de la Pasión,1750,12.00,,,,,,,,,,,,,,,
Series de la Pasión,1770,,,,,,,,,,,,,,,,
Series de la Pasión,1777,13.00,,,,,,,,,,,,,,,
Series de la Pasión,1779,,,,,,,,,,,,,,,,
Series de la Pasión,1784,,,,,,,,,,,,,,,,
Series de la Pasión,1800,,,,,,,,,,,,,,,,
Series de la Pasión,1818,14.00,,,,,,,,,,,,,,,
Series de la Pasión,1834,14.00,,,,,,,,,,,,,,,
