Eje linea tiempo,categoria,anio,% de total conteo,conteo,Conteo de:
# y % de Obras,"Credo, Mandamientos y Alabado",1640,6.41%,33,Obras
# y % de Obras,"Credo, Mandamientos y Alabado",1660,0.39%,2,Obras
# y % de Obras,"Credo, Mandamientos y Alabado",1670,1.17%,6,Obras
# y % de Obras,"Credo, Mandamientos y Alabado",1684,0.39%,2,Obras
# y % de Obras,"Credo, Mandamientos y Alabado",1700,0.39%,2,Obras
# y % de Obras,Escatología y series,,0.19%,1,Obras
# y % de Obras,Escatología y series,1575,0.19%,1,Obras
# y % de Obras,Escatología y series,1600,2.91%,15,Obras
# y % de Obras,Escatología y series,1608,0.19%,1,Obras
# y % de Obras,Escatología y series,1620,0.19%,1,Obras
# y % de Obras,Escatología y series,1625,0.78%,4,Obras
# y % de Obras,Escatología y series,1627,0.19%,1,Obras
# y % de Obras,Escatología y series,1630,0.19%,1,Obras
# y % de Obras,Escatología y series,1657,0.19%,1,Obras
# y % de Obras,Escatología y series,1675,0.19%,1,Obras
# y % de Obras,Escatología y series,1684,0.39%,2,Obras
# y % de Obras,Escatología y series,1689,0.19%,1,Obras
# y % de Obras,Escatología y series,1700,1.36%,7,Obras
# y % de Obras,Escatología y series,1739,0.19%,1,Obras
# y % de Obras,Escatología y series,1748,0.19%,1,Obras
# y % de Obras,Escatología y series,1790,0.39%,2,Obras
# y % de Obras,Escatología y series,1804,0.19%,1,Obras
# y % de Obras,Postrimerías,,0.19%,1,Obras
# y % de Obras,Postrimerías,1550,0.19%,1,Obras
# y % de Obras,Postrimerías,1600,11.46%,59,Obras
# y % de Obras,Postrimerías,1620,0.58%,3,Obras
# y % de Obras,Postrimerías,1626,0.19%,1,Obras
# y % de Obras,Postrimerías,1630,0.19%,1,Obras
# y % de Obras,Postrimerías,1634,0.19%,1,Obras
# y % de Obras,Postrimerías,1640,0.19%,1,Obras
# y % de Obras,Postrimerías,1650,0.19%,1,Obras
# y % de Obras,Postrimerías,1657,0.19%,1,Obras
# y % de Obras,Postrimerías,1684,0.58%,3,Obras
# y % de Obras,Postrimerías,1700,23.69%,122,Obras
# y % de Obras,Postrimerías,1704,0.39%,2,Obras
# y % de Obras,Postrimerías,1739,0.78%,4,Obras
# y % de Obras,Postrimerías,1748,0.19%,1,Obras
# y % de Obras,Postrimerías,1750,0.19%,1,Obras
# y % de Obras,Postrimerías,1759,0.19%,1,Obras
# y % de Obras,Postrimerías,1772,0.19%,1,Obras
# y % de Obras,Postrimerías,1775,0.39%,2,Obras
# y % de Obras,Postrimerías,1790,0.19%,1,Obras
# y % de Obras,Postrimerías,1800,0.78%,4,Obras
# y % de Obras,Postrimerías,1805,0.39%,2,Obras
# y % de Obras,Postrimerías,1818,0.19%,1,Obras
# y % de Obras,Postrimerías,1836,0.19%,1,Obras
# y % de Obras,Sacramentos,1550,0.19%,1,Obras
# y % de Obras,Sacramentos,1600,2.52%,13,Obras
# y % de Obras,Sacramentos,1675,0.39%,2,Obras
# y % de Obras,Sacramentos,1689,0.19%,1,Obras
# y % de Obras,Sacramentos,1700,7.96%,41,Obras
# y % de Obras,Sacramentos,1715,0.19%,1,Obras
# y % de Obras,Sacramentos,1735,0.39%,2,Obras
# y % de Obras,Sacramentos,1754,0.39%,2,Obras
# y % de Obras,Sacramentos,1781,0.19%,1,Obras
# y % de Obras,Trinidad,1500,0.19%,1,Obras
# y % de Obras,Trinidad,1600,8.16%,42,Obras
# y % de Obras,Trinidad,1657,0.39%,2,Obras
# y % de Obras,Trinidad,1680,0.19%,1,Obras
# y % de Obras,Trinidad,1690,0.19%,1,Obras
# y % de Obras,Trinidad,1692,0.19%,1,Obras
# y % de Obras,Trinidad,1700,13.59%,70,Obras
# y % de Obras,Trinidad,1710,0.19%,1,Obras
# y % de Obras,Trinidad,1715,0.58%,3,Obras
# y % de Obras,Trinidad,1724,0.19%,1,Obras
# y % de Obras,Trinidad,1730,0.39%,2,Obras
# y % de Obras,Trinidad,1740,0.19%,1,Obras
# y % de Obras,Trinidad,1750,0.19%,1,Obras
# y % de Obras,Trinidad,1754,0.19%,1,Obras
# y % de Obras,Trinidad,1755,0.19%,1,Obras
# y % de Obras,Trinidad,1760,0.19%,1,Obras
# y % de Obras,Trinidad,1763,0.19%,1,Obras
# y % de Obras,Trinidad,1770,0.19%,1,Obras
# y % de Obras,Trinidad,1772,0.19%,1,Obras
# y % de Obras,Trinidad,1774,0.19%,1,Obras
# y % de Obras,Trinidad,1775,0.19%,1,Obras
# y % de Obras,Trinidad,1780,0.39%,2,Obras
# y % de Obras,Trinidad,1787,0.19%,1,Obras
# y % de Obras,Trinidad,1790,0.19%,1,Obras
# y % de Obras,Trinidad,1792,0.19%,1,Obras
# y % de Obras,Trinidad,1800,0.97%,5,Obras
# y % de Obras,Trinidad,1819,0.19%,1,Obras
# y % de Obras,Trinidad,1821,0.19%,1,Obras
# y % de Obras,Trinidad,1849,0.19%,1,Obras
