categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1575,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1600,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1608,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1620,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1625,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1627,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1630,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1657,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1675,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1684,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1689,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1700,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1739,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1748,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1790,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1804,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escatología y series,1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1550,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1600,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1620,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1626,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1630,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1634,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1640,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1650,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1657,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1684,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1700,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1704,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1739,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1748,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1750,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1759,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1772,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1775,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1790,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1800,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1805,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1818,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postrimerías,1836,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
