categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1550,,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1575,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1600,15.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1608,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1620,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1627,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1630,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1634,,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1640,,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1650,,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1657,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1675,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1684,2.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1689,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1700,7.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1739,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1748,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1772,,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1790,2.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1800,,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1804,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Juicio Final 2,1805,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1550,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1575,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1600,47.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1608,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1620,3.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1627,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1630,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1634,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1640,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1650,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1657,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1675,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1684,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1689,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1700,61.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1739,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1748,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1772,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1790,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1800,2.00,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1804,,,,,,,,,,,,,,,,,,,,,,,,,
Purgatorio,1805,1.00,,,,,,,,,,,,,,,,,,,,,,,,
