categoria,anio,conteo,,,,,,,,,,,,,,,,,,,
Escatología y series,1575,1.00,,,,,,,,,,,,,,,,,,,
,,15.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1608,1.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1620,1.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1626,,,,,,,,,,,,,,,,,,,,
Escatología y series,1627,1.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1630,1.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1657,1.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1675,1.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1684,2.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1689,1.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1700,7.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1739,1.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1748,1.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1790,2.00,,,,,,,,,,,,,,,,,,,
Escatología y series,1800,,,,,,,,,,,,,,,,,,,,
Escatología y series,1804,1.00,,,,,,,,,,,,,,,,,,,
Postrimerías,1575,,,,,,,,,,,,,,,,,,,,
Postrimerías,1600,2.00,,,,,,,,,,,,,,,,,,,
Postrimerías,1608,,,,,,,,,,,,,,,,,,,,
Postrimerías,1620,,,,,,,,,,,,,,,,,,,,
Postrimerías,1626,1.00,,,,,,,,,,,,,,,,,,,
Postrimerías,1627,,,,,,,,,,,,,,,,,,,,
Postrimerías,1630,,,,,,,,,,,,,,,,,,,,
Postrimerías,1657,,,,,,,,,,,,,,,,,,,,
Postrimerías,1675,,,,,,,,,,,,,,,,,,,,
Postrimerías,1684,1.00,,,,,,,,,,,,,,,,,,,
Postrimerías,1689,,,,,,,,,,,,,,,,,,,,
Postrimerías,1700,8.00,,,,,,,,,,,,,,,,,,,
Postrimerías,1739,1.00,,,,,,,,,,,,,,,,,,,
Postrimerías,1748,,,,,,,,,,,,,,,,,,,,
Postrimerías,1790,,,,,,,,,,,,,,,,,,,,
Postrimerías,1800,1.00,,,,,,,,,,,,,,,,,,,
Postrimerías,1804,,,,,,,,,,,,,,,,,,,,
