categoria,anio,conteo,,,,,,,,,,,,,,
Alabado,1550,,,,,,,,,,,,,,,
Alabado,1600,,,,,,,,,,,,,,,
Alabado,1640,22.00,,,,,,,,,,,,,,
Alabado,1660,,,,,,,,,,,,,,,
Alabado,1670,,,,,,,,,,,,,,,
Alabado,1675,,,,,,,,,,,,,,,
Alabado,1684,,,,,,,,,,,,,,,
Alabado,1689,,,,,,,,,,,,,,,
Alabado,1700,1.00,,,,,,,,,,,,,,
Alabado,1715,,,,,,,,,,,,,,,
Alabado,1735,,,,,,,,,,,,,,,
Alabado,1754,,,,,,,,,,,,,,,
Alabado,1781,,,,,,,,,,,,,,,
Bautismo,1550,,,,,,,,,,,,,,,
Bautismo,1600,,,,,,,,,,,,,,,
Bautismo,1640,,,,,,,,,,,,,,,
Bautismo,1660,,,,,,,,,,,,,,,
Bautismo,1670,,,,,,,,,,,,,,,
Bautismo,1675,,,,,,,,,,,,,,,
Bautismo,1684,,,,,,,,,,,,,,,
Bautismo,1689,,,,,,,,,,,,,,,
Bautismo,1700,,,,,,,,,,,,,,,
Bautismo,1715,,,,,,,,,,,,,,,
Bautismo,1735,1.00,,,,,,,,,,,,,,
Bautismo,1754,,,,,,,,,,,,,,,
Bautismo,1781,,,,,,,,,,,,,,,
Confesión,1550,,,,,,,,,,,,,,,
Confesión,1600,1.00,,,,,,,,,,,,,,
Confesión,1640,,,,,,,,,,,,,,,
Confesión,1660,,,,,,,,,,,,,,,
Confesión,1670,,,,,,,,,,,,,,,
Confesión,1675,1.00,,,,,,,,,,,,,,
Confesión,1684,,,,,,,,,,,,,,,
Confesión,1689,,,,,,,,,,,,,,,
Confesión,1700,1.00,,,,,,,,,,,,,,
Confesión,1715,,,,,,,,,,,,,,,
Confesión,1735,,,,,,,,,,,,,,,
Confesión,1754,,,,,,,,,,,,,,,
Confesión,1781,,,,,,,,,,,,,,,
Credo,1550,,,,,,,,,,,,,,,
Credo,1600,,,,,,,,,,,,,,,
Credo,1640,11.00,,,,,,,,,,,,,,
Credo,1660,,,,,,,,,,,,,,,
Credo,1670,,,,,,,,,,,,,,,
Credo,1675,,,,,,,,,,,,,,,
Credo,1684,2.00,,,,,,,,,,,,,,
Credo,1689,,,,,,,,,,,,,,,
Credo,1700,1.00,,,,,,,,,,,,,,
Credo,1715,,,,,,,,,,,,,,,
Credo,1735,,,,,,,,,,,,,,,
Credo,1754,,,,,,,,,,,,,,,
Credo,1781,,,,,,,,,,,,,,,
Eucaristía,1550,1.00,,,,,,,,,,,,,,
Eucaristía,1600,10.00,,,,,,,,,,,,,,
Eucaristía,1640,,,,,,,,,,,,,,,
Eucaristía,1660,,,,,,,,,,,,,,,
Eucaristía,1670,,,,,,,,,,,,,,,
Eucaristía,1675,1.00,,,,,,,,,,,,,,
Eucaristía,1684,,,,,,,,,,,,,,,
Eucaristía,1689,1.00,,,,,,,,,,,,,,
Eucaristía,1700,37.00,,,,,,,,,,,,,,
Eucaristía,1715,1.00,,,,,,,,,,,,,,
Eucaristía,1735,,,,,,,,,,,,,,,
Eucaristía,1754,1.00,,,,,,,,,,,,,,
Eucaristía,1781,1.00,,,,,,,,,,,,,,
Mandamientos,1550,,,,,,,,,,,,,,,
Mandamientos,1600,,,,,,,,,,,,,,,
Mandamientos,1640,,,,,,,,,,,,,,,
Mandamientos,1660,2.00,,,,,,,,,,,,,,
Mandamientos,1670,6.00,,,,,,,,,,,,,,
Mandamientos,1675,,,,,,,,,,,,,,,
Mandamientos,1684,,,,,,,,,,,,,,,
Mandamientos,1689,,,,,,,,,,,,,,,
Mandamientos,1700,,,,,,,,,,,,,,,
Mandamientos,1715,,,,,,,,,,,,,,,
Mandamientos,1735,,,,,,,,,,,,,,,
Mandamientos,1754,,,,,,,,,,,,,,,
Mandamientos,1781,,,,,,,,,,,,,,,
Matrimonio,1550,,,,,,,,,,,,,,,
Matrimonio,1600,,,,,,,,,,,,,,,
Matrimonio,1640,,,,,,,,,,,,,,,
Matrimonio,1660,,,,,,,,,,,,,,,
Matrimonio,1670,,,,,,,,,,,,,,,
Matrimonio,1675,,,,,,,,,,,,,,,
Matrimonio,1684,,,,,,,,,,,,,,,
Matrimonio,1689,,,,,,,,,,,,,,,
Matrimonio,1700,2.00,,,,,,,,,,,,,,
Matrimonio,1715,,,,,,,,,,,,,,,
Matrimonio,1735,1.00,,,,,,,,,,,,,,
Matrimonio,1754,,,,,,,,,,,,,,,
Matrimonio,1781,,,,,,,,,,,,,,,
Otros sacamentos,1550,,,,,,,,,,,,,,,
Otros sacamentos,1600,2.00,,,,,,,,,,,,,,
Otros sacamentos,1640,,,,,,,,,,,,,,,
Otros sacamentos,1660,,,,,,,,,,,,,,,
Otros sacamentos,1670,,,,,,,,,,,,,,,
Otros sacamentos,1675,,,,,,,,,,,,,,,
Otros sacamentos,1684,,,,,,,,,,,,,,,
Otros sacamentos,1689,,,,,,,,,,,,,,,
Otros sacamentos,1700,1.00,,,,,,,,,,,,,,
Otros sacamentos,1715,,,,,,,,,,,,,,,
Otros sacamentos,1735,,,,,,,,,,,,,,,
Otros sacamentos,1754,1.00,,,,,,,,,,,,,,
Otros sacamentos,1781,,,,,,,,,,,,,,,
