categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1500,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1600,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1680,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1700,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1775,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compatio Patris,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1600,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1700,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1715,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1760,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1763,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1780,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1787,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1821,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otras Trinidades,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1600,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1657,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1700,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1730,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre eterno,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
