categoria,anio,conteo,,,,,,,,,,,,,,,,,,,
Mística y devociones,1500,1.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1550,1.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1560,1.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1600,4.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1620,1.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1635,1.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1650,5.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1660,1.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1675,1.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1691,1.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1700,17.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1740,1.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1748,1.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1750,3.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1760,5.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1763,3.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1790,3.00,,,,,,,,,,,,,,,,,,,
Mística y devociones,1804,1.00,,,,,,,,,,,,,,,,,,,
