categoria,anio,conteo,,,,,,,,,,,,
Moral pecado y redención,1600,1.00,,,,,,,,,,,,
Moral pecado y redención,1650,3.00,,,,,,,,,,,,
Moral pecado y redención,1700,19.00,,,,,,,,,,,,
Moral pecado y redención,1735,2.00,,,,,,,,,,,,
Moral pecado y redención,1737,1.00,,,,,,,,,,,,
Moral pecado y redención,1754,1.00,,,,,,,,,,,,
Moral pecado y redención,1771,1.00,,,,,,,,,,,,
Moral pecado y redención,1772,1.00,,,,,,,,,,,,
Moral pecado y redención,1775,2.00,,,,,,,,,,,,
Moral pecado y redención,1790,1.00,,,,,,,,,,,,
Moral pecado y redención,1800,7.00,,,,,,,,,,,,
