categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1600,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1785,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Ricci,1837,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1550,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1600,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1639,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1661,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1700,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina de Siena,1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1550,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1600,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
