categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1600,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1657,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1700,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Rodriguez,1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1600,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1650,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1657,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1680,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1694,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1700,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1759,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1761,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1762,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1767,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanislao de Kotska,1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1600,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1657,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1700,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1761,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1765,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Borja,1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1700,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1740,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1750,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1752,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco de Regis,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
