pais,,,conteo
Colombia,Lugar origen,Obras,1220
Mexico,Lugar origen,Obras,1121
Peru,Lugar origen,Obras,925
Ecuador,Lugar origen,Obras,245
Chile,Lugar origen,Obras,138
Argentina,Lugar origen,Obras,123
Brazil,Lugar origen,Obras,115
Bolivia,Lugar origen,Obras,100
Guatemala,Lugar origen,Obras,64
Venezuela,Lugar origen,Obras,58
United States,Lugar origen,Obras,15
Cuba,Lugar origen,Obras,9
Dominican Rep.,Lugar origen,Obras,3
Puerto Rico,Lugar origen,Obras,3
Honduras,Lugar origen,Obras,1
Spain,Lugar origen,Obras,1
