pais,,,,conteo
Colombia,Lugar origen,Obras,"1,220",188
Mexico,Lugar origen,Obras,"1,121",166
Peru,Lugar origen,Obras,925,81
Ecuador,Lugar origen,Obras,245,27
Chile,Lugar origen,Obras,138,17
Argentina,Lugar origen,Obras,123,15
Brazil,Lugar origen,Obras,115,28
Bolivia,Lugar origen,Obras,100,17
Guatemala,Lugar origen,Obras,64,4
Venezuela,Lugar origen,Obras,58,11
United States,Lugar origen,Obras,15,6
Cuba,Lugar origen,Obras,9,1
Dominican Rep.,Lugar origen,Obras,3,0
Puerto Rico,Lugar origen,Obras,3,3
Honduras,Lugar origen,Obras,1,0
Spain,Lugar origen,Obras,1,0
