pais,conteo,Participación a total,Conjunto 1:
Celeste,265,0.046094973,Escenario
Celeste / Escatológico,21,0.003652809,Escenario
Celeste / Terrestre,857,0.149069403,Escenario
Escenario Simbólico,63,0.010958428,Escenario
Sin datos,400,0.069577318,Escenario
Sin definir,1048,0.182292573,Escenario
Sin definir - Claroscuro,322,0.056009741,Escenario
Terrestre / Ciudad - poblado,369,0.064185076,Escenario
Terrestre / Interior casa-habitación,647,0.112541312,Escenario
Terrestre / Interior templo,259,0.045051313,Escenario
Terrestre / cortinaje,56,0.009740824,Escenario
Terrestre / interior - paisaje,128,0.022264742,Escenario
Terrestre / paisaje,1145,0.199165072,Escenario
Terrestre otro,169,0.029396417,Escenario
