Eje linea tiempo,categoria,anio,% de total conteo,conteo,Conteo de:
# y % de Obras,Santos,1500,0.24%,1,Obras
# y % de Obras,Santos,1550,1.66%,7,Obras
# y % de Obras,Santos,1570,0.71%,3,Obras
# y % de Obras,Santos,1573,0.24%,1,Obras
# y % de Obras,Santos,1575,1.42%,6,Obras
# y % de Obras,Santos,1581,0.47%,2,Obras
# y % de Obras,Santos,1588,0.71%,3,Obras
# y % de Obras,Santos,1600,10.90%,46,Obras
# y % de Obras,Santos,1604,0.24%,1,Obras
# y % de Obras,Santos,1616,0.24%,1,Obras
# y % de Obras,Santos,1620,1.18%,5,Obras
# y % de Obras,Santos,1625,0.24%,1,Obras
# y % de Obras,Santos,1632,0.24%,1,Obras
# y % de Obras,Santos,1637,0.24%,1,Obras
# y % de Obras,Santos,1640,0.24%,1,Obras
# y % de Obras,Santos,1649,0.24%,1,Obras
# y % de Obras,Santos,1650,2.84%,12,Obras
# y % de Obras,Santos,1657,11.14%,47,Obras
# y % de Obras,Santos,1660,0.95%,4,Obras
# y % de Obras,Santos,1670,0.95%,4,Obras
# y % de Obras,Santos,1673,0.24%,1,Obras
# y % de Obras,Santos,1675,0.47%,2,Obras
# y % de Obras,Santos,1680,0.95%,4,Obras
# y % de Obras,Santos,1684,0.24%,1,Obras
# y % de Obras,Santos,1686,0.47%,2,Obras
# y % de Obras,Santos,1688,0.24%,1,Obras
# y % de Obras,Santos,1700,14.93%,63,Obras
# y % de Obras,Santos,1703,0.24%,1,Obras
# y % de Obras,Santos,1705,2.84%,12,Obras
# y % de Obras,Santos,1710,0.24%,1,Obras
# y % de Obras,Santos,1715,0.71%,3,Obras
# y % de Obras,Santos,1720,0.47%,2,Obras
# y % de Obras,Santos,1724,0.24%,1,Obras
# y % de Obras,Santos,1734,0.24%,1,Obras
# y % de Obras,Santos,1735,0.24%,1,Obras
# y % de Obras,Santos,1746,0.47%,2,Obras
# y % de Obras,Santos,1748,0.24%,1,Obras
# y % de Obras,Santos,1750,0.47%,2,Obras
# y % de Obras,Santos,1756,0.24%,1,Obras
# y % de Obras,Santos,1760,12.09%,51,Obras
# y % de Obras,Santos,1765,0.24%,1,Obras
# y % de Obras,Santos,1769,0.24%,1,Obras
# y % de Obras,Santos,1772,0.47%,2,Obras
# y % de Obras,Santos,1774,0.47%,2,Obras
# y % de Obras,Santos,1775,0.24%,1,Obras
# y % de Obras,Santos,1777,0.47%,2,Obras
# y % de Obras,Santos,1780,0.47%,2,Obras
# y % de Obras,Santos,1781,0.24%,1,Obras
# y % de Obras,Santos,1785,1.18%,5,Obras
# y % de Obras,Santos,1786,0.24%,1,Obras
# y % de Obras,Santos,1791,0.47%,2,Obras
# y % de Obras,Santos,1792,0.24%,1,Obras
# y % de Obras,Santos,1795,0.24%,1,Obras
# y % de Obras,Santos,1796,0.24%,1,Obras
# y % de Obras,Santos,1797,0.47%,2,Obras
# y % de Obras,Santos,1800,1.42%,6,Obras
