categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1690,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1698,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1700,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1711,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1715,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1717,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1720,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1725,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1730,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1740,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1750,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1754,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1760,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1761,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1763,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1770,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1774,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1775,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1777,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1780,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1783,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1785,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1787,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1790,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1800,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temas seculares,1801,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
