categoria,anio,conteo
Alegorías y Emblemas,1550,
Alegorías y Emblemas,1570,
Alegorías y Emblemas,1574,
Alegorías y Emblemas,1600,3.00
Alegorías y Emblemas,1606,
Alegorías y Emblemas,1630,
Alegorías y Emblemas,1638,
Alegorías y Emblemas,1650,
Alegorías y Emblemas,1652,
Alegorías y Emblemas,1657,
Alegorías y Emblemas,1661,
Alegorías y Emblemas,1670,
Alegorías y Emblemas,1673,
Alegorías y Emblemas,1680,
Alegorías y Emblemas,1684,
Alegorías y Emblemas,1686,
Alegorías y Emblemas,1690,
Alegorías y Emblemas,1699,
Alegorías y Emblemas,1700,27.00
Alegorías y Emblemas,1701,
Alegorías y Emblemas,1705,
Alegorías y Emblemas,1713,8.00
Alegorías y Emblemas,1715,
Alegorías y Emblemas,1720,
Alegorías y Emblemas,1725,
Alegorías y Emblemas,1729,
Alegorías y Emblemas,1730,
Alegorías y Emblemas,1732,
Alegorías y Emblemas,1734,
Alegorías y Emblemas,1736,
Alegorías y Emblemas,1737,
Alegorías y Emblemas,1738,
Alegorías y Emblemas,1743,
Alegorías y Emblemas,1745,
Alegorías y Emblemas,1746,
Alegorías y Emblemas,1749,
Alegorías y Emblemas,1750,
Alegorías y Emblemas,1755,
Alegorías y Emblemas,1756,
Alegorías y Emblemas,1758,
Alegorías y Emblemas,1760,1.00
Alegorías y Emblemas,1764,
Alegorías y Emblemas,1765,
Alegorías y Emblemas,1766,1.00
Alegorías y Emblemas,1767,
Alegorías y Emblemas,1768,
Alegorías y Emblemas,1769,
Alegorías y Emblemas,1770,1.00
Alegorías y Emblemas,1771,
Alegorías y Emblemas,1772,
Alegorías y Emblemas,1773,
Alegorías y Emblemas,1774,
Alegorías y Emblemas,1775,
Alegorías y Emblemas,1777,
Alegorías y Emblemas,1778,3.00
Alegorías y Emblemas,1779,
Alegorías y Emblemas,1780,
Alegorías y Emblemas,1781,2.00
Alegorías y Emblemas,1782,
Alegorías y Emblemas,1784,
Alegorías y Emblemas,1785,2.00
Alegorías y Emblemas,1786,
Alegorías y Emblemas,1787,
Alegorías y Emblemas,1788,
Alegorías y Emblemas,1789,
Alegorías y Emblemas,1790,
Alegorías y Emblemas,1791,
Alegorías y Emblemas,1793,
Alegorías y Emblemas,1795,
Alegorías y Emblemas,1796,
Alegorías y Emblemas,1797,
Alegorías y Emblemas,1798,
Alegorías y Emblemas,1800,5.00
Alegorías y Emblemas,1801,
Alegorías y Emblemas,1803,
Alegorías y Emblemas,1804,
Alegorías y Emblemas,1807,
Alegorías y Emblemas,1810,
Alegorías y Emblemas,1811,
Alegorías y Emblemas,1812,
Alegorías y Emblemas,1813,1.00
Alegorías y Emblemas,1814,
Alegorías y Emblemas,1816,
Alegorías y Emblemas,1817,
Alegorías y Emblemas,1818,1.00
Alegorías y Emblemas,1819,1.00
Alegorías y Emblemas,1820,
Alegorías y Emblemas,1823,
Alegorías y Emblemas,1826,1.00
Alegorías y Emblemas,1827,1.00
Alegorías y Emblemas,1828,
Alegorías y Emblemas,1831,
Alegorías y Emblemas,1833,
Alegorías y Emblemas,1834,
Alegorías y Emblemas,1835,
Alegorías y Emblemas,1839,
Alegorías y Emblemas,1849,
Alegorías y Emblemas,1850,
