categoria,anio,conteo
Alegorías y Emblemas,1500,1.0
Alegorías y Emblemas,1535,
Alegorías y Emblemas,1539,
Alegorías y Emblemas,1550,2.0
Alegorías y Emblemas,1551,
Alegorías y Emblemas,1554,
Alegorías y Emblemas,1556,
Alegorías y Emblemas,1558,
Alegorías y Emblemas,1560,
Alegorías y Emblemas,1562,
Alegorías y Emblemas,1565,
Alegorías y Emblemas,1568,
Alegorías y Emblemas,1570,
Alegorías y Emblemas,1573,1.0
Alegorías y Emblemas,1575,
Alegorías y Emblemas,1579,
Alegorías y Emblemas,1580,
Alegorías y Emblemas,1581,
Alegorías y Emblemas,1584,
Alegorías y Emblemas,1586,
Alegorías y Emblemas,1587,
Alegorías y Emblemas,1588,
Alegorías y Emblemas,1590,
Alegorías y Emblemas,1594,
Alegorías y Emblemas,1600,48.0
Alegorías y Emblemas,1602,
Alegorías y Emblemas,1603,
Alegorías y Emblemas,1604,
Alegorías y Emblemas,1605,
Alegorías y Emblemas,1606,
Alegorías y Emblemas,1607,
Alegorías y Emblemas,1609,
Alegorías y Emblemas,1610,
Alegorías y Emblemas,1611,
Alegorías y Emblemas,1612,
Alegorías y Emblemas,1615,
Alegorías y Emblemas,1616,
Alegorías y Emblemas,1618,
Alegorías y Emblemas,1619,
Alegorías y Emblemas,1620,
Alegorías y Emblemas,1621,
Alegorías y Emblemas,1624,
Alegorías y Emblemas,1625,
Alegorías y Emblemas,1626,1.0
Alegorías y Emblemas,1630,
Alegorías y Emblemas,1631,
Alegorías y Emblemas,1632,
Alegorías y Emblemas,1634,
Alegorías y Emblemas,1635,
Alegorías y Emblemas,1637,
Alegorías y Emblemas,1638,
Alegorías y Emblemas,1639,
Alegorías y Emblemas,1640,
Alegorías y Emblemas,1642,
Alegorías y Emblemas,1643,
Alegorías y Emblemas,1645,
Alegorías y Emblemas,1646,
Alegorías y Emblemas,1647,
Alegorías y Emblemas,1648,
Alegorías y Emblemas,1649,2.0
Alegorías y Emblemas,1650,6.0
Alegorías y Emblemas,1652,1.0
Alegorías y Emblemas,1653,
Alegorías y Emblemas,1655,
Alegorías y Emblemas,1656,1.0
Alegorías y Emblemas,1658,
Alegorías y Emblemas,1659,
Alegorías y Emblemas,1660,
Alegorías y Emblemas,1661,
Alegorías y Emblemas,1662,
Alegorías y Emblemas,1665,1.0
Alegorías y Emblemas,1666,
